time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773322276.96523499,0.03337802,6265,0.00906209,0.01430174,0,0.00000000,3316,4283,1904,0.00000000,0.00483569,0.00280979,0.00000135,0.00076548,0.01945819
1773322277.06485724,0.01644962,6262,0.00392693,0.00674818,0,0.00000000,4058,5382,1409,0.00521802,0.00322675,0.00129481,0.00000062,0.00035963,0.01035802
1773322277.16449761,0.01743204,6304,0.00369382,0.00753707,0,0.00000000,5202,5367,1155,0.00433085,0.00272311,0.00243099,0.00000051,0.00039157,0.01041792
1773322277.26439118,0.02488608,6334,0.00508772,0.01189471,0,0.00000000,5367,5896,1064,0.00418584,0.00297631,0.00201465,0.00000090,0.00069812,0.01505578
1773322277.36458802,0.02179761,6290,0.00234338,0.01413781,0,0.00000000,5146,5896,922,0.00285236,0.00260730,0.00134488,0.00000193,0.00053194,0.01692842
1773322277.46542072,0.01659715,6297,0.00237555,0.00917184,0,0.00000000,5896,6422,784,0.00311420,0.00211213,0.00157898,0.00000134,0.00058842,0.01144380
1773322277.56524348,0.02582769,6229,0.00368746,0.01527857,0,0.00000000,6422,6676,721,0.00280655,0.00288165,0.00188862,0.00000339,0.00082987,0.01836125
1773322277.66488600,0.03012315,6244,0.00420028,0.01741778,0,0.00000000,6676,6963,665,0.00152238,0.00378627,0.00267350,0.00000330,0.00087898,0.02147474
1773322277.76455522,0.02638839,6278,0.00404424,0.01336099,0,0.00000000,6963,7251,630,0.00229395,0.00417404,0.00276985,0.00000216,0.00079620,0.01783503
1773322277.86440516,0.02790308,6282,0.00446402,0.01436962,0,0.00000000,7251,7454,595,0.00188100,0.00424183,0.00276330,0.00000176,0.00082236,0.01894947
1773322277.96551919,0.02643290,6247,0.00394376,0.01284691,0,0.00000000,7454,7669,583,0.00146098,0.00486056,0.00246815,0.00000368,0.00070008,0.01805355
1773322278.06516647,0.01354458,6270,0.00199859,0.00685791,0,0.00000000,7669,7841,533,0.00089122,0.00209594,0.00145807,0.00000123,0.00047513,0.00909918
1773322278.16511846,0.03369672,6218,0.00338212,0.02123132,0,0.00000000,7841,8027,502,0.00114650,0.00404684,0.00293223,0.00000162,0.00090750,0.02555814
