time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773320500.69186330,0.02229153,6203,0.00713044,0.00868553,0,0.00000000,4088,5432,2515,0.00000000,0.00324768,0.00161777,0.00000082,0.00042312,0.01215984
1773320500.79185820,0.02877494,6189,0.00626375,0.01405450,0,0.00000000,5171,6175,1791,0.00272859,0.00413911,0.00206160,0.00000102,0.00051981,0.01851496
1773320500.89187932,0.03090288,6172,0.00435058,0.01876154,0,0.00000000,6175,6906,1481,0.00272743,0.00415917,0.00190310,0.00000095,0.00040154,0.02325073
1773320500.99188113,0.02333480,6173,0.00490420,0.01157557,0,0.00000000,6906,7182,1289,0.00252250,0.00418730,0.00140264,0.00000090,0.00036930,0.01606302
1773320501.09195280,0.02411179,6190,0.00417207,0.01253413,0,0.00000000,7182,8123,1151,0.00143835,0.00455758,0.00142772,0.00000091,0.00042505,0.01739563
1773320501.19193888,0.02595335,6164,0.00428943,0.01329069,0,0.00000000,7078,7670,940,0.00159956,0.00488553,0.00181819,0.00000104,0.00056340,0.01848925
1773320501.29196596,0.03641578,6159,0.00456681,0.01975023,0,0.00000000,7670,8149,857,0.00152144,0.00745058,0.00239399,0.00000140,0.00074321,0.02776280
1773320501.39204764,0.03718056,6166,0.00600115,0.01894419,0,0.00000000,8149,8525,816,0.00169989,0.00700405,0.00289049,0.00000174,0.00079321,0.02650771
1773320501.49184227,0.04132289,6167,0.00521684,0.02157777,0,0.00000000,8525,8736,776,0.00191772,0.00886823,0.00257436,0.00000492,0.00086628,0.03152544
1773320501.59223676,0.03436164,6098,0.00481267,0.01859973,0,0.00000000,8736,8832,687,0.00189608,0.00644189,0.00238535,0.00000126,0.00068101,0.02547193
1773320501.69186616,0.01763845,6125,0.00249466,0.01004543,0,0.00000000,8832,8972,637,0.00150882,0.00266725,0.00128238,0.00000083,0.00036732,0.01289845
1773320501.79192328,0.02484620,6143,0.00247151,0.01524758,0,0.00000000,8972,9114,667,0.00173423,0.00338353,0.00242642,0.00000109,0.00041699,0.01890349
1773320501.89187455,0.03353826,6179,0.00317436,0.02157355,0,0.00000000,9114,9230,618,0.00207334,0.00478872,0.00230005,0.00000095,0.00051544,0.02692333
1773320501.99204993,0.02019961,6159,0.00187651,0.01208954,0,0.00000000,9230,9512,619,0.00188093,0.00346657,0.00139756,0.00000127,0.00045375,0.01593430
1773320502.09203601,0.03795824,6115,0.00381181,0.02278816,0,0.00000000,9512,9495,571,0.00143847,0.00701107,0.00213766,0.00000155,0.00063649,0.03036381
1773320502.19188333,0.03021749,6151,0.00380003,0.01673073,0,0.00000000,9495,9536,589,0.00273652,0.00552652,0.00222130,0.00000160,0.00060826,0.02260994
1773320502.29191422,0.03085853,6151,0.00385858,0.01620644,0,0.00000000,9536,9715,604,0.00266458,0.00470472,0.00402233,0.00000123,0.00071011,0.02128410
1773320502.39192677,0.03297316,6179,0.00378347,0.01866900,0,0.00000000,9715,9887,537,0.00121040,0.00564501,0.00265205,0.00000179,0.00077809,0.02470031
1773320502.49195838,0.03079157,6179,0.00311241,0.01790099,0,0.00000000,9887,10106,553,0.00126808,0.00492218,0.00263663,0.00000129,0.00078750,0.02325540
1773320502.59195018,0.03541204,6108,0.00713665,0.01710198,0,0.00000000,10106,9807,489,0.00231218,0.00481629,0.00391513,0.00000185,0.00098975,0.02231300
1773320502.69182229,0.03865247,6120,0.00378262,0.02176025,0,0.00000000,9807,9955,479,0.00287770,0.00565511,0.00454802,0.00000406,0.00134042,0.02787941
1773320502.79187369,0.03263476,6133,0.00355530,0.01776690,0,0.00000000,9955,10163,472,0.00181295,0.00595339,0.00304265,0.00000176,0.00069597,0.02416163
1773320502.89182949,0.03343694,6190,0.00287994,0.01799647,0,0.00000000,10163,10280,443,0.00172667,0.00573299,0.00452976,0.00000199,0.00082007,0.02407977
