time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1773322276.96523499,0.03226714,6265,0.00985652,0.00000000,0,0.00000000,2304,3445,1548,0.00000000
1773322277.06485724,0.01361578,6262,0.00268664,0.00000000,0,0.00000000,3445,4363,1214,0.00473285
1773322277.16449761,0.02870107,6304,0.00523316,0.00000000,0,0.00000000,4363,4769,1048,0.00152342
1773322277.26439118,0.01633776,6334,0.00375549,0.00000000,0,0.00000000,4769,5728,971,0.00296962
1773322277.36458802,0.02853404,6290,0.00270441,0.00000000,0,0.00000000,5279,5782,820,0.00291783
1773322277.46542072,0.01852004,6297,0.00453705,0.00000000,0,0.00000000,5782,6149,704,0.00150278
1773322277.56524348,0.01250394,6229,0.00209866,0.00000000,0,0.00000000,6149,6508,668,0.00372490
1773322277.66488600,0.02405574,6244,0.00334209,0.00000000,0,0.00000000,6508,6782,673,0.00208622
1773322277.76455522,0.01208926,6278,0.00169356,0.00000000,0,0.00000000,6782,7062,634,0.00569365
1773322277.86440516,0.03050164,6282,0.00332589,0.00000000,0,0.00000000,7062,7228,578,0.00165937
1773322277.96551919,0.01523372,6247,0.00175434,0.00000000,0,0.00000000,7228,7520,549,0.00077624
1773322278.06516647,0.01749012,6270,0.00229999,0.00000000,0,0.00000000,7520,7683,473,0.00175487
1773322278.16511846,0.01746483,6218,0.00262960,0.00000000,0,0.00000000,7683,7840,438,0.00076141
1773322278.26475406,0.01275878,6252,0.00130655,0.00000000,0,0.00000000,6534,6914,430,0.00194711
1773322278.36442590,0.01538843,6307,0.00123883,0.00000000,0,0.00000000,6914,7257,401,0.00091945
1773322278.46448302,0.01188186,6306,0.00098300,0.00000000,0,0.00000000,7257,7593,388,0.00107645
1773322278.56589079,0.01286300,6262,0.00123185,0.00000000,0,0.00000000,7593,7893,418,0.00110769
1773322278.66570377,0.01638509,6263,0.00149347,0.00000000,0,0.00000000,7893,8170,376,0.00143399
1773322278.76537132,0.02149450,6257,0.00166755,0.00000000,0,0.00000000,8170,8401,368,0.00179837
1773322278.86503100,0.01654468,6245,0.00130114,0.00000000,0,0.00000000,8401,8616,352,0.00147994
1773322278.96481824,0.01816526,6240,0.00134663,0.00000000,0,0.00000000,8616,8817,314,0.00163103
1773322279.06446004,0.01924373,6278,0.00144939,0.00000000,0,0.00000000,8817,8937,330,0.00083669
