time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773322276.76487494,0.04168524,18847,0.00991895,0.01818221,0,0.00000000,6501,7711,3218,0.00000000,0.00460551,0.00532073,0.00000087,0.00209610,0.02309341
1773322276.86551404,0.03276925,18811,0.00988746,0.01293630,0,0.00000000,7711,7974,2101,0.00352470,0.00432016,0.00332542,0.00000089,0.00109849,0.01755387
1773322276.96523499,0.03105173,18780,0.00648991,0.01424017,0,0.00000000,7458,9033,1645,0.00386284,0.00428873,0.00289894,0.00000067,0.00102991,0.01925615
1773322277.06485724,0.02850827,18778,0.00463050,0.01467687,0,0.00000000,8380,8735,1426,0.00268563,0.00345088,0.00301734,0.00000062,0.00105573,0.01846530
1773322277.16449761,0.03261481,18862,0.00435694,0.01514761,0,0.00000000,8735,9052,1148,0.00254300,0.00424353,0.00597320,0.00000081,0.00164204,0.01967966
1773322277.26439118,0.03481588,18981,0.00435686,0.01680436,0,0.00000000,9052,9411,1128,0.00113913,0.00425560,0.00604543,0.00000144,0.00203316,0.02138545
1773322277.36458802,0.03714518,18870,0.00490415,0.01989388,0,0.00000000,9411,9502,1005,0.00109735,0.00469687,0.00410908,0.00000124,0.00202502,0.02495823
1773322277.46542072,0.04189176,18864,0.00521759,0.01944569,0,0.00000000,9502,9635,904,0.00133610,0.00567854,0.00788252,0.00000356,0.00195795,0.02558577
1773322277.56524348,0.03880413,18775,0.00434328,0.02001060,0,0.00000000,9635,9649,736,0.00121232,0.00540885,0.00587528,0.00000126,0.00158480,0.02580424
1773322277.66488600,0.05481613,18767,0.00535170,0.02976785,0,0.00000000,9649,9862,734,0.00123545,0.00743890,0.00731729,0.00000180,0.00260490,0.03770500
1773322277.76455522,0.03070084,18864,0.00287633,0.01681224,0,0.00000000,9862,9887,702,0.00067154,0.00430121,0.00381994,0.00000111,0.00155063,0.02157292
1773322277.86440516,0.03559751,18931,0.00287576,0.02243274,0,0.00000000,9887,9978,725,0.00152858,0.00390408,0.00365338,0.00000142,0.00146973,0.02668580
1773322277.96551919,0.02553895,18779,0.00252271,0.01368068,0,0.00000000,9978,10159,655,0.00093377,0.00379064,0.00281553,0.00000243,0.00155675,0.01779548
1773322278.06516647,0.05209514,18836,0.00552851,0.02737846,0,0.00000000,10159,10102,594,0.00153925,0.00772537,0.00738998,0.00000112,0.00199551,0.03565301
1773322278.16511846,0.02857304,18768,0.00261218,0.01479484,0,0.00000000,10102,8839,600,0.00094782,0.00455970,0.00374666,0.00000098,0.00152869,0.01988937
