time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773325303.93815947,0.03353837,6033,0.00864463,0.01573928,0,0.00000000,4833,6858,3183,0.00000000,0.00390908,0.00272553,0.00000118,0.00075002,0.02019369
1773325304.03817606,0.05234197,6003,0.00850942,0.03384656,0,0.00000000,6858,7755,2295,0.00308116,0.00510841,0.00313551,0.00000101,0.00037038,0.03965572
1773325304.13803601,0.05717925,6036,0.00872099,0.03680287,0,0.00000000,7755,8823,1922,0.00199557,0.00394877,0.00182666,0.00000074,0.00050153,0.04239197
1773325304.23809481,0.03890200,6041,0.00654310,0.02231060,0,0.00000000,8384,9229,1613,0.00197480,0.00487780,0.00233941,0.00000181,0.00098746,0.02803961
1773325304.33820724,0.04810195,5990,0.00955293,0.02878406,0,0.00000000,9229,9813,1372,0.00321174,0.00470230,0.00191071,0.00000101,0.00039272,0.03433883
1773325304.43803811,0.02198722,6025,0.00454407,0.01106868,0,0.00000000,9813,10275,1247,0.00200506,0.00334950,0.00133906,0.00000057,0.00039884,0.01507477
1773325304.53806949,0.02039321,6035,0.00401277,0.00933901,0,0.00000000,9836,10328,1065,0.00220924,0.00300880,0.00224623,0.00000049,0.00034864,0.01260997
1773325304.63820052,0.01820989,6062,0.00441121,0.00911690,0,0.00000000,10328,10689,1057,0.00122065,0.00241843,0.00117663,0.00000055,0.00031521,0.01171346
1773325304.73818445,0.02046277,6027,0.00400122,0.01083193,0,0.00000000,10424,10655,919,0.00241526,0.00339512,0.00111312,0.00000055,0.00032481,0.01447445
1773325304.83806849,0.01837301,6015,0.00368077,0.00937374,0,0.00000000,10655,11010,904,0.00119433,0.00268058,0.00119144,0.00000077,0.00032985,0.01228229
1773325304.93809366,0.01899758,5990,0.00312626,0.01043283,0,0.00000000,11010,11040,822,0.00174484,0.00264284,0.00116373,0.00000067,0.00031897,0.01326270
1773325305.03805447,0.01910559,6047,0.00364426,0.01070887,0,0.00000000,11040,11323,898,0.00098256,0.00246485,0.00118212,0.00000066,0.00031296,0.01335716
1773325305.13814163,0.01901093,5985,0.00373849,0.00928709,0,0.00000000,11323,11568,889,0.00179720,0.00238660,0.00188228,0.00000091,0.00080904,0.01184411
1773325305.23803949,0.02006377,6005,0.00330592,0.01154759,0,0.00000000,11568,11897,919,0.00095249,0.00301473,0.00106592,0.00000049,0.00034817,0.01475985
1773325305.33809495,0.01788608,6001,0.00359046,0.00884121,0,0.00000000,11897,12052,765,0.00075939,0.00226999,0.00208684,0.00000044,0.00033273,0.01132345
1773325305.43815303,0.01656971,6005,0.00291887,0.00909515,0,0.00000000,12052,12033,712,0.00082080,0.00231771,0.00119744,0.00000072,0.00032663,0.01159113
1773325305.53811288,0.01720359,5958,0.00326763,0.00857930,0,0.00000000,12033,12317,656,0.00079276,0.00224112,0.00185306,0.00000061,0.00050129,0.01102054
1773325305.63797045,0.01812318,5993,0.00449557,0.00875741,0,0.00000000,12317,12502,563,0.00133445,0.00235335,0.00113564,0.00000061,0.00029222,0.01132921
1773325305.73794699,0.02665181,6026,0.00235617,0.01672385,0,0.00000000,12502,12718,529,0.00087690,0.00380519,0.00229659,0.00000261,0.00036909,0.02091734
1773325305.83799219,0.04237322,5992,0.00260023,0.03135746,0,0.00000000,12718,12737,562,0.00087236,0.00391712,0.00223353,0.00000367,0.00084202,0.03584015
1773325305.93819594,0.02929391,5976,0.00610477,0.01467099,0,0.00000000,12737,12510,514,0.00132676,0.00258814,0.00270087,0.00000459,0.00128643,0.01748797
1773325306.03793931,0.01823521,6052,0.00237831,0.01000714,0,0.00000000,12510,12716,543,0.00081299,0.00286095,0.00179729,0.00000060,0.00033524,0.01305826
1773325306.13796735,0.02187460,6034,0.00214199,0.01253011,0,0.00000000,12716,12905,531,0.00092793,0.00363729,0.00187435,0.00000134,0.00058612,0.01653440
1773325306.23797989,0.01997827,6023,0.00179112,0.01226688,0,0.00000000,12905,13127,493,0.00117276,0.00271424,0.00163259,0.00000071,0.00046227,0.01527401
1773325306.33799267,0.01550561,6013,0.00171463,0.00935261,0,0.00000000,13127,13167,401,0.00084892,0.00224731,0.00116224,0.00000060,0.00029570,0.01176868
1773325306.43803000,0.02003884,5975,0.00402658,0.00897647,0,0.00000000,13167,13326,423,0.00151152,0.00363379,0.00175130,0.00000066,0.00048005,0.01288407
1773325306.53805757,0.02225854,5975,0.00186400,0.01422426,0,0.00000000,13326,13396,422,0.00143415,0.00264703,0.00212304,0.00000048,0.00054051,0.01714427
1773325306.63810658,0.01939998,5923,0.00312095,0.01041108,0,0.00000000,13396,13428,479,0.00138399,0.00313496,0.00102892,0.00000067,0.00028947,0.01374158
1773325306.73793888,0.01951188,5966,0.00242780,0.01080031,0,0.00000000,13428,13469,537,0.00085973,0.00361852,0.00127316,0.00000075,0.00034906,0.01486306
1773325306.83797073,0.01857529,5970,0.00251512,0.01061038,0,0.00000000,13469,13751,537,0.00137063,0.00298990,0.00128568,0.00000121,0.00039550,0.01380048
1773325306.93798256,0.01645797,5933,0.00207684,0.00973233,0,0.00000000,13751,13824,451,0.00144726,0.00237283,0.00121158,0.00000052,0.00033802,0.01226763
