time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773324152.04182005,0.02124544,6065,0.00626683,0.00837501,0,0.00000000,2936,4009,1805,0.00000000,0.00328360,0.00188309,0.00000054,0.00046680,0.01182710
1773324152.14185882,0.01530313,6048,0.00327652,0.00661337,0,0.00000000,4009,5067,1379,0.00434823,0.00261294,0.00165194,0.00000301,0.00048199,0.00941534
1773324152.24183893,0.01368522,6069,0.00302974,0.00596647,0,0.00000000,4766,5423,1235,0.00376174,0.00198877,0.00155363,0.00000467,0.00058231,0.00809235
1773324152.34177732,0.02503735,6069,0.00462970,0.01217910,0,0.00000000,5423,5986,1129,0.00388120,0.00442377,0.00226140,0.00000101,0.00058698,0.01692153
1773324152.44176173,0.01507582,6045,0.00328454,0.00595850,0,0.00000000,5986,6437,1040,0.00302499,0.00213024,0.00276118,0.00000058,0.00033919,0.00822518
1773324152.54182839,0.02450854,6057,0.00548405,0.01125981,0,0.00000000,6437,6856,1017,0.00143357,0.00399967,0.00185268,0.00000388,0.00073776,0.01552107
1773324152.64183640,0.02393018,5967,0.00488413,0.01138696,0,0.00000000,6856,7425,1003,0.00159042,0.00407515,0.00215834,0.00000075,0.00053426,0.01572430
1773324152.74178433,0.01884333,6032,0.00313433,0.00915844,0,0.00000000,7157,7880,878,0.00347567,0.00358364,0.00153321,0.00000425,0.00030742,0.01301356
1773324152.84178972,0.02314535,6031,0.00408235,0.01142500,0,0.00000000,7401,7922,819,0.00152192,0.00407587,0.00201897,0.00000104,0.00057189,0.01577526
1773324152.94183445,0.01624566,6077,0.00278052,0.00848924,0,0.00000000,7922,8411,794,0.00181840,0.00231631,0.00147207,0.00000267,0.00047381,0.01102794
1773324153.04184699,0.01549235,6026,0.00270969,0.00746058,0,0.00000000,8411,8777,743,0.00167202,0.00251908,0.00161299,0.00000273,0.00052124,0.01014118
1773324153.14176607,0.02667051,6027,0.00458247,0.01320923,0,0.00000000,8777,9125,744,0.00157304,0.00463674,0.00241130,0.00000124,0.00067944,0.01815116
1773324153.24170446,0.02967343,6046,0.00516554,0.01423305,0,0.00000000,9125,9408,723,0.00150974,0.00567899,0.00251534,0.00000189,0.00067672,0.02033021
1773324153.34181213,0.01636228,6014,0.00329843,0.00778040,0,0.00000000,9408,9665,635,0.00138656,0.00243053,0.00162501,0.00000257,0.00057941,0.01036377
1773324153.44177532,0.02741750,5976,0.00419360,0.01405442,0,0.00000000,9409,9767,604,0.00089429,0.00505032,0.00229964,0.00000090,0.00059664,0.01945446
1773324153.54165626,0.03001559,6013,0.00480517,0.01294174,0,0.00000000,9767,10033,601,0.00204893,0.00514420,0.00458343,0.00000098,0.00140182,0.01840839
1773324153.64170408,0.02656610,6062,0.00385606,0.01342661,0,0.00000000,10033,10224,536,0.00246257,0.00497800,0.00250126,0.00000113,0.00064538,0.01876901
1773324153.74168372,0.02884975,6059,0.00404616,0.01485554,0,0.00000000,10224,10364,499,0.00127218,0.00496566,0.00285515,0.00000274,0.00092599,0.02014336
1773324153.84168887,0.02528607,6014,0.00300957,0.01322596,0,0.00000000,10364,10550,447,0.00158923,0.00379338,0.00349725,0.00000173,0.00068296,0.01733146
1773324153.94160414,0.01406162,6058,0.00167547,0.00728990,0,0.00000000,10550,10755,497,0.00215698,0.00268477,0.00149521,0.00000076,0.00034033,0.01014212
1773324154.04172087,0.02062913,6006,0.00340596,0.01016945,0,0.00000000,10755,10867,466,0.00248746,0.00367985,0.00188693,0.00000104,0.00046791,0.01407668
1773324154.14157462,0.03809150,6033,0.00278576,0.02782406,0,0.00000000,10867,11064,437,0.00269533,0.00385830,0.00203835,0.00000120,0.00063458,0.03193740
1773324154.24176764,0.02616332,6011,0.00228885,0.01620716,0,0.00000000,11064,11148,393,0.00182162,0.00365897,0.00219172,0.00000107,0.00055215,0.02023779
1773324154.34177232,0.01315996,6031,0.00191131,0.00679716,0,0.00000000,11148,11200,413,0.00148690,0.00225679,0.00128186,0.00000058,0.00035386,0.00919610
1773324154.44180870,0.02813905,6003,0.00350491,0.01516068,0,0.00000000,11200,11374,434,0.00111354,0.00524667,0.00228654,0.00000114,0.00070139,0.02073938
1773324154.54174113,0.01425872,5973,0.00151835,0.00768855,0,0.00000000,11374,11513,394,0.00171857,0.00246652,0.00136263,0.00000329,0.00043711,0.01044012
1773324154.64163160,0.03074552,5965,0.00320970,0.01747513,0,0.00000000,11513,11671,381,0.00188161,0.00532430,0.00275660,0.00000136,0.00072496,0.02313334
1773324154.74164414,0.03464714,6061,0.00667816,0.01715393,0,0.00000000,11671,11607,355,0.00149806,0.00528786,0.00331662,0.00000171,0.00086791,0.02277481
1773324154.84183049,0.02807400,5990,0.00286768,0.01461704,0,0.00000000,11065,11257,328,0.00187762,0.00514152,0.00329481,0.00000135,0.00076529,0.02008990
1773324154.94181728,0.01125537,5979,0.00098465,0.00621838,0,0.00000000,11257,11513,335,0.00157075,0.00204189,0.00112143,0.00000044,0.00035954,0.00839419
1773324155.04169846,0.02932592,5986,0.00308525,0.01419002,0,0.00000000,11513,11663,335,0.00173988,0.00551188,0.00369214,0.00000112,0.00082608,0.02003312
1773324155.14170384,0.02971233,6015,0.00305674,0.01494490,0,0.00000000,11663,11805,282,0.00220968,0.00416331,0.00534483,0.00000241,0.00088577,0.01941066
1773324155.24170041,0.01389823,6042,0.00144845,0.00748727,0,0.00000000,11805,11921,307,0.00366038,0.00199975,0.00152111,0.00000057,0.00028687,0.00973639
1773324155.34185648,0.01475747,6028,0.00151854,0.00776324,0,0.00000000,11921,12034,281,0.00121244,0.00292869,0.00139433,0.00000055,0.00033985,0.01094185
1773324155.44187808,0.01376723,6034,0.00168670,0.00707586,0,0.00000000,12034,12055,290,0.00219770,0.00239317,0.00148102,0.00000145,0.00045428,0.00963881
1773324155.54189801,0.01315660,6004,0.00120438,0.00728527,0,0.00000000,12055,11908,298,0.00375261,0.00224018,0.00143274,0.00000116,0.00040094,0.00968782
1773324155.64191985,0.02390721,5997,0.00222232,0.01366929,0,0.00000000,11908,12037,248,0.00097512,0.00394899,0.00238938,0.00000086,0.00056705,0.01794410
1773324155.74173403,0.02479382,6044,0.00268328,0.01338557,0,0.00000000,12037,12140,269,0.00145032,0.00434453,0.00256348,0.00000095,0.00065450,0.01805335
1773324155.84195232,0.02572161,6009,0.00231006,0.01380813,0,0.00000000,12140,12292,255,0.00133381,0.00457906,0.00269681,0.00000091,0.00063902,0.01875279
1773324155.94193077,0.02577546,6025,0.00212956,0.01492001,0,0.00000000,12292,12369,281,0.00113776,0.00430466,0.00271119,0.00000093,0.00067605,0.01950976
1773324156.04198456,0.01448484,6050,0.00121117,0.00857969,0,0.00000000,12369,12483,269,0.00157304,0.00184369,0.00198110,0.00000085,0.00034651,0.01056939
1773324156.14202118,0.01455492,5998,0.00119380,0.00819842,0,0.00000000,12483,12501,250,0.00177810,0.00269232,0.00128704,0.00000066,0.00035035,0.01131988
1773324156.24199080,0.02242952,6017,0.00155957,0.01251036,0,0.00000000,12501,12620,219,0.00203176,0.00406081,0.00226230,0.00000317,0.00071649,0.01701551
1773324156.34194827,0.02423644,6023,0.00184961,0.01441826,0,0.00000000,12620,12775,229,0.00169756,0.00367729,0.00262138,0.00000140,0.00066322,0.01837526
1773324156.44198060,0.01458687,6047,0.00136064,0.00769410,0,0.00000000,12775,12853,228,0.00085105,0.00264766,0.00150193,0.00000062,0.00049719,0.01051304
1773324156.54194379,0.03099975,6000,0.00202223,0.01664337,0,0.00000000,12853,12974,239,0.00071407,0.00590432,0.00359271,0.00000097,0.00140746,0.02304355
1773324156.64198780,0.02579641,6051,0.00177019,0.01347629,0,0.00000000,12974,13029,222,0.00116716,0.00373336,0.00475543,0.00000115,0.00080785,0.01745857
1773324156.74196863,0.02632703,6013,0.00227897,0.01497027,0,0.00000000,13029,13158,240,0.00172764,0.00451521,0.00270964,0.00000115,0.00073851,0.01978219
1773324156.84190011,0.02657707,6024,0.00180438,0.01418445,0,0.00000000,12709,12822,215,0.00084980,0.00361222,0.00480291,0.00000120,0.00094995,0.01819928
1773324156.94194984,0.02597319,6004,0.00137291,0.01439391,0,0.00000000,12822,12955,190,0.00210257,0.00468385,0.00360523,0.00000142,0.00081083,0.01936285
1773324157.04192400,0.02406245,6048,0.00169906,0.01305312,0,0.00000000,12955,13005,188,0.00357912,0.00372439,0.00371011,0.00000212,0.00077984,0.01701268
1773324157.14201975,0.02700688,5957,0.00137569,0.01504680,0,0.00000000,13005,13041,167,0.00178982,0.00463041,0.00399963,0.00000173,0.00083031,0.01997382
1773324157.24193239,0.02318676,6012,0.00161806,0.01312076,0,0.00000000,13041,13155,205,0.00366033,0.00369147,0.00300476,0.00000132,0.00070785,0.01703745
1773324157.34199023,0.02769730,6021,0.00240471,0.01442531,0,0.00000000,13155,13241,214,0.00184937,0.00455474,0.00336023,0.00000407,0.00094406,0.01932062
1773324157.44204783,0.02316972,5967,0.00168449,0.01288315,0,0.00000000,13241,13306,177,0.00400354,0.00378573,0.00292579,0.00000120,0.00070502,0.01693199
1773324157.54202533,0.02525867,6050,0.00133374,0.01440544,0,0.00000000,13306,13401,174,0.00182931,0.00375176,0.00401243,0.00000113,0.00073257,0.01838563
1773324157.64214158,0.03011382,6025,0.00150363,0.01756707,0,0.00000000,13401,13407,167,0.00247968,0.00585100,0.00309264,0.00000129,0.00083803,0.02384127
1773324157.74211287,0.02504211,6039,0.00154929,0.01478065,0,0.00000000,13407,13457,190,0.00204615,0.00413629,0.00274781,0.00000134,0.00074684,0.01917279
1773324157.84207463,0.02642171,5996,0.00126972,0.01617686,0,0.00000000,13457,13515,151,0.00235952,0.00414220,0.00294397,0.00000194,0.00079801,0.02057156
1773324157.94200373,0.02377632,6076,0.00117126,0.01369233,0,0.00000000,13515,13575,136,0.00191298,0.00377819,0.00333196,0.00000111,0.00078552,0.01769847
1773324158.04219484,0.02211863,5984,0.00113229,0.01359850,0,0.00000000,13575,13603,143,0.00201713,0.00296950,0.00271952,0.00000166,0.00072643,0.01679774
1773324158.14210439,0.02369246,6036,0.00206558,0.01318849,0,0.00000000,13603,13531,142,0.00189999,0.00396564,0.00263327,0.00000338,0.00071641,0.01741498
1773324158.24218607,0.02755535,6059,0.00125304,0.01616767,0,0.00000000,13531,13578,141,0.00193053,0.00543505,0.00261128,0.00000126,0.00081258,0.02196732
1773324158.34218931,0.02586552,6057,0.00107281,0.01422764,0,0.00000000,13578,13623,131,0.00224393,0.00388521,0.00474051,0.00000102,0.00081050,0.01837180
1773324158.44204330,0.02423792,6015,0.00119428,0.01438481,0,0.00000000,13623,13661,143,0.00197007,0.00410395,0.00271195,0.00000123,0.00070720,0.01884691
1773324158.54212117,0.02251063,6010,0.00117837,0.01389005,0,0.00000000,13661,13702,151,0.00214824,0.00307449,0.00263990,0.00000109,0.00071237,0.01722617
1773324158.64208698,0.02497125,6086,0.00130691,0.01482508,0,0.00000000,13702,13747,145,0.00179698,0.00394459,0.00301304,0.00000125,0.00075930,0.01902454
1773324158.74211192,0.02499086,6028,0.00109732,0.01342733,0,0.00000000,13747,13799,131,0.00339837,0.00380171,0.00475808,0.00000121,0.00081007,0.01745700
1773324158.84225178,0.02341977,6076,0.00132777,0.01360074,0,0.00000000,13799,13806,145,0.00245927,0.00369696,0.00305847,0.00000128,0.00072300,0.01754694
1773324158.94224072,0.02346987,6011,0.00182300,0.01329355,0,0.00000000,13806,13769,119,0.00221960,0.00372929,0.00266064,0.00000119,0.00071350,0.01727811
1773324159.04216003,0.02142184,6016,0.00140237,0.01251569,0,0.00000000,13769,13801,141,0.00208694,0.00349552,0.00237467,0.00000089,0.00064802,0.01622138
1773324159.14238024,0.02300339,6046,0.00138070,0.01300937,0,0.00000000,13801,13857,142,0.00522019,0.00359542,0.00246634,0.00000095,0.00067797,0.01694547
1773324159.24216270,0.02445722,5993,0.00119440,0.01475212,0,0.00000000,13857,13926,128,0.00232316,0.00442840,0.00245032,0.00000095,0.00063517,0.01949938
1773324159.34218931,0.02217835,6047,0.00113929,0.01310794,0,0.00000000,13926,14012,131,0.00185823,0.00367169,0.00246953,0.00000136,0.00064417,0.01702945
1773324159.44213986,0.02686267,6038,0.00134273,0.01626237,0,0.00000000,14012,14022,145,0.00328119,0.00418619,0.00300080,0.00000172,0.00091094,0.02070837
1773324159.54232311,0.02358351,5994,0.00115239,0.01349339,0,0.00000000,14022,14051,142,0.00224804,0.00368629,0.00340605,0.00001578,0.00077994,0.01743875
1773324159.64218235,0.02269681,5987,0.00126058,0.01323293,0,0.00000000,14051,14057,148,0.00170724,0.00367270,0.00281238,0.00000133,0.00070847,0.01712780
1773324159.74213314,0.02199160,6038,0.00095168,0.01315175,0,0.00000000,14057,14085,112,0.00169334,0.00363699,0.00255057,0.00000121,0.00068696,0.01701740
1773324159.84230351,0.02305384,6007,0.00169887,0.01310886,0,0.00000000,14085,14006,109,0.00223645,0.00375729,0.00266845,0.00000106,0.00070785,0.01714572
1773324159.94223571,0.02353280,6012,0.00147109,0.01316913,0,0.00000000,14006,14042,106,0.00233526,0.00380541,0.00271627,0.00000116,0.00068697,0.01722645
1773324160.04219151,0.02391700,5981,0.00112236,0.01488531,0,0.00000000,14042,14034,122,0.00236586,0.00367146,0.00256858,0.00000096,0.00067722,0.01882876
1773324160.14222813,0.02677703,5999,0.00117518,0.01623191,0,0.00000000,14034,14053,122,0.00204027,0.00442755,0.00292758,0.00000126,0.00082412,0.02097286
1773324160.24183297,0.02639878,6048,0.00097090,0.01534704,0,0.00000000,14053,14085,104,0.00202268,0.00360865,0.00412247,0.00000250,0.00102244,0.01928830
1773324160.34248304,0.02598979,6023,0.00100626,0.01572194,0,0.00000000,14085,14132,124,0.00208612,0.00459329,0.00276130,0.00000146,0.00079520,0.02057402
1773324160.44229817,0.02315972,6008,0.00121321,0.01329948,0,0.00000000,14132,14083,117,0.00183241,0.00365330,0.00325003,0.00000124,0.00070656,0.01718306
1773324160.54228783,0.02171622,6032,0.00101893,0.01264357,0,0.00000000,14083,14109,123,0.00187020,0.00367283,0.00262338,0.00000116,0.00070387,0.01656799
1773324160.64232183,0.02410976,6040,0.00143848,0.01332339,0,0.00000000,14109,14132,106,0.00276098,0.00400863,0.00304333,0.00000120,0.00068408,0.01769416
1773324160.74244142,0.02469265,5991,0.00108185,0.01443509,0,0.00000000,14132,14143,116,0.00223517,0.00476631,0.00256460,0.00000097,0.00068245,0.01953007
1773324160.84225941,0.02379435,6059,0.00110042,0.01469936,0,0.00000000,14143,14165,122,0.00210393,0.00374228,0.00251282,0.00000090,0.00068012,0.01867483
1773324160.94238830,0.02419297,6004,0.00083560,0.01315009,0,0.00000000,14165,14176,99,0.00198427,0.00368815,0.00465976,0.00000136,0.00077920,0.01711342
1773324161.04240918,0.02285585,5986,0.00131307,0.01289619,0,0.00000000,14176,14170,134,0.00219859,0.00396956,0.00271331,0.00000193,0.00091501,0.01711335
1773324161.14242697,0.02220680,5997,0.00115562,0.01304586,0,0.00000000,14170,14149,111,0.00234153,0.00354400,0.00269692,0.00000171,0.00076170,0.01680754
1773324161.24444485,0.02245856,6031,0.00111005,0.01287995,0,0.00000000,14149,14158,117,0.00186919,0.00353761,0.00321732,0.00000111,0.00073366,0.01663744
1773324161.34232211,0.02389408,5956,0.00104846,0.01406825,0,0.00000000,14158,14164,105,0.00350018,0.00369379,0.00311625,0.00000121,0.00085622,0.01800866
1773324161.44232416,0.01368811,6033,0.00047396,0.00850972,0,0.00000000,14164,14177,87,0.00178402,0.00186752,0.00175706,0.00000070,0.00044955,0.01053134
1773324161.54233456,0.02886571,6010,0.00141188,0.01672713,0,0.00000000,14177,14132,102,0.00344341,0.00516877,0.00330769,0.00000116,0.00081411,0.02222304
1773324161.64261222,0.02875958,6015,0.00239644,0.01515783,0,0.00000000,14132,13940,112,0.00233926,0.00411123,0.00506850,0.00000135,0.00084405,0.01953053
1773324161.74236774,0.02670658,6020,0.00080711,0.01456753,0,0.00000000,13940,13963,89,0.00262215,0.00412632,0.00503361,0.00000114,0.00091758,0.01899196
1773324161.84248567,0.02357853,5969,0.00105141,0.01422160,0,0.00000000,13963,14032,118,0.00151050,0.00336770,0.00283638,0.00000171,0.00089346,0.01788792
1773324161.94235802,0.02393864,6038,0.00088751,0.01442473,0,0.00000000,14032,14005,93,0.00237048,0.00351064,0.00322095,0.00000241,0.00081128,0.01822650
1773324162.04239535,0.02291190,6046,0.00064821,0.01375644,0,0.00000000,14005,14086,85,0.00372122,0.00379009,0.00292636,0.00000124,0.00074392,0.01778046
1773324162.14241838,0.02512235,6076,0.00093603,0.01381273,0,0.00000000,14086,14141,104,0.00271283,0.00391251,0.00421490,0.00000136,0.00087403,0.01802425
1773324162.24238873,0.01845737,6077,0.00082413,0.01029131,0,0.00000000,14141,14211,108,0.00215542,0.00313791,0.00262725,0.00000086,0.00057486,0.01377291
1773324162.34245968,0.02229804,6055,0.00118087,0.01190132,0,0.00000000,14211,14331,182,0.00284897,0.00356334,0.00365201,0.00000153,0.00064590,0.01575738
1773324162.44251871,0.02431515,6075,0.00149717,0.01474095,0,0.00000000,14331,14441,199,0.00267067,0.00367341,0.00264065,0.00000092,0.00070967,0.01864403
1773324162.54247236,0.02866902,6070,0.00171956,0.01723494,0,0.00000000,14441,14572,190,0.00405755,0.00397669,0.00326619,0.00000204,0.00118141,0.02152187
1773324162.64243102,0.02657113,6061,0.00207336,0.01452870,0,0.00000000,14572,14673,227,0.00157711,0.00349973,0.00423944,0.00000194,0.00107404,0.01832727
1773324162.74243617,0.02579870,6076,0.00162376,0.01390671,0,0.00000000,14673,14764,207,0.00282260,0.00380235,0.00448170,0.00000173,0.00084899,0.01795411
