# pcl_beg=235.200003 pcl_end=235.299619 imu_beg=233.999374 imu_end=235.299242
# last_lidar_end_prev was set before this call; imu_state.pos=4.8185 -1.5519 -0.6576 vel=1.7513 0.4720 0.0108
# idx  offset_ms  pos_x  pos_y  pos_z  vel_x  vel_y  vel_z
  0     0.0000     4.6445   -1.5887   -0.6574     1.7432    0.2857   -0.0099
  1     9.0864     4.6603   -1.5861   -0.6575     1.7417    0.2974   -0.0085
  2    13.8047     4.6685   -1.5847   -0.6576     1.7426    0.3056   -0.0073
  3    19.3038     4.6781   -1.5830   -0.6576     1.7442    0.3154   -0.0062
  4    24.0104     4.6863   -1.5815   -0.6576     1.7455    0.3238   -0.0057
  5    29.4776     4.6958   -1.5797   -0.6577     1.7465    0.3335   -0.0055
  6    33.9944     4.7037   -1.5782   -0.6577     1.7469    0.3415   -0.0055
  7    39.4781     4.7133   -1.5764   -0.6577     1.7469    0.3514   -0.0055
  8    43.8170     4.7209   -1.5748   -0.6578     1.7467    0.3594   -0.0054
  9    49.7239     4.7312   -1.5727   -0.6578     1.7468    0.3707   -0.0049
 10    53.7474     4.7382   -1.5712   -0.6578     1.7472    0.3785   -0.0042
 11    59.4733     4.7482   -1.5691   -0.6578     1.7480    0.3899   -0.0026
 12    63.9586     4.7561   -1.5673   -0.6578     1.7485    0.3990   -0.0009
 13    69.1464     4.7652   -1.5652   -0.6578     1.7487    0.4097    0.0014
 14    73.4289     4.7726   -1.5635   -0.6578     1.7486    0.4187    0.0035
 15    79.4299     4.7831   -1.5610   -0.6578     1.7487    0.4316    0.0066
 16    84.0647     4.7912   -1.5590   -0.6578     1.7492    0.4415    0.0086
 17    89.2680     4.8003   -1.5567   -0.6577     1.7500    0.4523    0.0102
 18    93.8272     4.8083   -1.5546   -0.6577     1.7507    0.4613    0.0109
 19    99.2386     4.8178   -1.5521   -0.6576     1.7512    0.4713    0.0108
# pcl_beg=235.299660 pcl_end=235.399577 imu_beg=235.299242 imu_end=235.399353
# last_lidar_end_prev was set before this call; imu_state.pos=4.8953 -1.2320 -0.6589 vel=1.2641 1.9355 0.0407
# idx  offset_ms  pos_x  pos_y  pos_z  vel_x  vel_y  vel_z
  0     0.0000     4.7694   -1.4190   -0.6594     1.2528    1.8083   -0.0030
  1     4.1666     4.7747   -1.4113   -0.6594     1.2530    1.8147   -0.0032
  2     9.8844     4.7819   -1.4010   -0.6594     1.2531    1.8232   -0.0039
  3    14.4718     4.7876   -1.3926   -0.6594     1.2534    1.8297   -0.0048
  4    19.6702     4.7941   -1.3831   -0.6594     1.2544    1.8367   -0.0060
  5    23.9022     4.7994   -1.3753   -0.6595     1.2556    1.8421   -0.0071
  6    29.9394     4.8070   -1.3642   -0.6595     1.2573    1.8494   -0.0082
  7    34.5738     4.8128   -1.3556   -0.6595     1.2583    1.8549   -0.0086
  8    39.8281     4.8194   -1.3459   -0.6596     1.2590    1.8611   -0.0084
  9    44.2243     4.8250   -1.3377   -0.6596     1.2595    1.8665   -0.0071
 10    49.7723     4.8320   -1.3273   -0.6597     1.2602    1.8735   -0.0043
 11    53.9472     4.8372   -1.3195   -0.6597     1.2611    1.8788   -0.0017
 12    59.7987     4.8446   -1.3085   -0.6597     1.2627    1.8861    0.0029
 13    64.2178     4.8502   -1.3002   -0.6597     1.2637    1.8915    0.0069
 14    69.7765     4.8572   -1.2897   -0.6596     1.2646    1.8982    0.0121
 15    74.4517     4.8631   -1.2808   -0.6596     1.2650    1.9039    0.0168
 16    79.6239     4.8697   -1.2710   -0.6595     1.2651    1.9104    0.0223
 17    83.8063     4.8750   -1.2630   -0.6594     1.2652    1.9157    0.0266
 18    89.8061     4.8826   -1.2515   -0.6592     1.2654    1.9232    0.0326
 19    94.0919     4.8880   -1.2432   -0.6591     1.2652    1.9285    0.0364
 20    99.6931     4.8951   -1.2324   -0.6589     1.2641    1.9352    0.0405
# pcl_beg=235.399321 pcl_end=235.499756 imu_beg=235.399353 imu_end=235.499325
# last_lidar_end_prev was set before this call; imu_state.pos=4.8765 -1.1784 -0.7594 vel=0.5462 1.3440 -0.3234
# idx  offset_ms  pos_x  pos_y  pos_z  vel_x  vel_y  vel_z
  0     0.0000     4.8167   -1.3097   -0.7194     0.6317    1.2692   -0.4493
  1     4.2911     4.8193   -1.3046   -0.7212     0.6302    1.2738   -0.4465
  2    10.1233     4.8229   -1.2972   -0.7238     0.6270    1.2805   -0.4425
  3    14.6241     4.8258   -1.2914   -0.7258     0.6242    1.2856   -0.4395
  4    20.1428     4.8292   -1.2843   -0.7282     0.6206    1.2914   -0.4356
  5    24.4017     4.8318   -1.2788   -0.7301     0.6179    1.2955   -0.4324
  6    30.3349     4.8355   -1.2711   -0.7326     0.6139    1.3005   -0.4273
  7    34.5044     4.8381   -1.2657   -0.7344     0.6107    1.3038   -0.4234
  8    40.1173     4.8415   -1.2584   -0.7368     0.6057    1.3077   -0.4173
  9    44.8644     4.8444   -1.2522   -0.7388     0.6013    1.3109   -0.4113
 10    50.1380     4.8475   -1.2453   -0.7409     0.5963    1.3146   -0.4040
 11    54.5619     4.8502   -1.2394   -0.7427     0.5924    1.3176   -0.3971
 12    60.1497     4.8535   -1.2321   -0.7449     0.5878    1.3213   -0.3881
 13    64.7206     4.8562   -1.2260   -0.7467     0.5838    1.3242   -0.3807
 14    70.1413     4.8593   -1.2189   -0.7488     0.5787    1.3274   -0.3718
 15    74.2865     4.8617   -1.2134   -0.7503     0.5743    1.3299   -0.3648
 16    80.1463     4.8651   -1.2056   -0.7525     0.5677    1.3334   -0.3550
 17    84.2032     4.8674   -1.2002   -0.7539     0.5633    1.3358   -0.3482
 18    89.8361     4.8706   -1.1926   -0.7559     0.5574    1.3389   -0.3389
 19    94.4557     4.8732   -1.1864   -0.7574     0.5526    1.3413   -0.3319
 20   100.0042     4.8762   -1.1790   -0.7593     0.5467    1.3438   -0.3240
