time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773325303.93815947,0.03504228,6033,0.01048462,0.01437291,0,0.00000000,4833,6858,3183,0.00000000,0.00429384,0.00318823,0.00000080,0.00067344,0.01913572
1773325304.03817606,0.02648041,6003,0.00740562,0.01037527,0,0.00000000,6858,7755,2295,0.00191046,0.00523023,0.00133289,0.00000120,0.00058273,0.01643152
1773325304.13803601,0.02163824,6036,0.00688513,0.00918304,0,0.00000000,7755,8823,1922,0.00160762,0.00291619,0.00125697,0.00000045,0.00037116,0.01245418
1773325304.23809481,0.01963245,6041,0.00472191,0.00918029,0,0.00000000,8384,9232,1613,0.00194023,0.00278329,0.00172060,0.00000056,0.00032683,0.01216896
1773325304.33820724,0.02379317,5990,0.00560669,0.01183385,0,0.00000000,9232,9805,1372,0.00371729,0.00358963,0.00141494,0.00000062,0.00040665,0.01563937
1773325304.43803811,0.01885548,6025,0.00517997,0.00924710,0,0.00000000,9805,10282,1247,0.00218655,0.00210712,0.00118700,0.00000378,0.00036608,0.01155422
1773325304.53806949,0.02962750,6035,0.00624993,0.01520625,0,0.00000000,9843,10311,1065,0.00216422,0.00412484,0.00229459,0.00000067,0.00050319,0.01969898
1773325304.63820052,0.02046667,6062,0.00434706,0.01082154,0,0.00000000,10311,10689,1057,0.00124502,0.00246835,0.00165612,0.00000068,0.00036476,0.01350201
1773325304.73818445,0.06308914,6027,0.00774212,0.04524592,0,0.00000000,10424,10693,919,0.00206028,0.00654413,0.00196849,0.00000099,0.00052746,0.05209142
1773325304.83806849,0.01790275,6015,0.00234491,0.01063432,0,0.00000000,10693,11057,904,0.00214957,0.00217111,0.00162118,0.00000074,0.00036967,0.01300171
1773325304.93809366,0.02136442,5990,0.00442226,0.01167937,0,0.00000000,11057,11341,822,0.00158543,0.00256404,0.00139048,0.00000068,0.00038099,0.01447752
1773325305.03805447,0.03493670,6047,0.00691845,0.01891629,0,0.00000000,11078,11362,898,0.00086416,0.00503720,0.00173144,0.00000066,0.00059110,0.02432206
1773325305.13814163,0.01893275,5985,0.00341101,0.01011256,0,0.00000000,11362,11569,889,0.00173997,0.00277946,0.00141924,0.00000047,0.00040275,0.01307921
1773325305.23803949,0.02073992,6005,0.00499199,0.01047051,0,0.00000000,11569,11928,919,0.00218567,0.00286017,0.00118823,0.00000043,0.00028476,0.01354395
1773325305.33809495,0.03962361,6001,0.00668748,0.02214376,0,0.00000000,11928,12056,765,0.00106719,0.00573238,0.00270706,0.00000104,0.00073049,0.02826746
1773325305.43815303,0.04079507,6005,0.00689242,0.02146210,0,0.00000000,12056,12020,712,0.00184728,0.00533162,0.00480685,0.00000130,0.00073376,0.02713333
1773325305.53811288,0.03541406,5958,0.00472738,0.01986447,0,0.00000000,12020,12320,656,0.00136964,0.00588869,0.00250471,0.00000111,0.00076227,0.02625355
1773325305.63797045,0.03252884,5993,0.00412986,0.01816076,0,0.00000000,12320,12534,563,0.00105965,0.00501797,0.00262585,0.00000149,0.00096459,0.02360360
1773325305.73794699,0.01787763,6026,0.00178757,0.01003525,0,0.00000000,12534,12732,529,0.00159843,0.00256248,0.00238720,0.00000067,0.00034012,0.01280754
1773325305.83799219,0.06769092,5992,0.01073825,0.04666057,0,0.00000000,12732,12690,562,0.00291633,0.00552380,0.00260005,0.00000105,0.00070893,0.05253468
1773325305.93819594,0.03329473,5976,0.00597040,0.01744774,0,0.00000000,12690,12483,514,0.00190028,0.00501010,0.00237092,0.00000102,0.00067618,0.02280414
1773325306.03793931,0.03123300,6052,0.00360879,0.01807168,0,0.00000000,12483,12764,543,0.00192858,0.00499359,0.00246477,0.00000099,0.00066894,0.02339206
1773325306.13796735,0.03427914,6034,0.00382741,0.01938672,0,0.00000000,12764,12965,531,0.00084305,0.00633325,0.00244703,0.00000088,0.00068535,0.02622129
1773325306.23797989,0.03577740,6023,0.00351531,0.01831653,0,0.00000000,12965,13208,493,0.00151063,0.00481255,0.00690290,0.00000087,0.00078085,0.02344252
1773325306.33799267,0.03174881,6013,0.00358380,0.01844604,0,0.00000000,13208,13156,401,0.00329995,0.00518003,0.00236489,0.00000090,0.00066727,0.02396340
1773325306.43803000,0.03077866,5975,0.00306405,0.01801783,0,0.00000000,13156,13333,423,0.00258248,0.00487439,0.00236331,0.00000078,0.00086332,0.02322403
1773325306.53805757,0.03223919,5975,0.00401246,0.01781608,0,0.00000000,13333,13405,422,0.00215013,0.00413690,0.00428530,0.00000103,0.00068737,0.02227408
1773325306.63810658,0.03018666,5923,0.00359467,0.01756904,0,0.00000000,13405,13518,479,0.00337599,0.00462576,0.00235507,0.00000108,0.00066089,0.02252014
1773325306.73793888,0.03305281,5966,0.00426108,0.01822230,0,0.00000000,13518,13600,537,0.00176364,0.00596497,0.00236664,0.00000119,0.00065925,0.02462628
1773325306.83797073,0.03328740,5970,0.00458935,0.01829891,0,0.00000000,13600,13639,537,0.00199663,0.00580918,0.00237638,0.00000092,0.00066952,0.02454344
1773325306.93798256,0.03061534,5933,0.00372120,0.01793477,0,0.00000000,13639,13728,451,0.00186209,0.00457647,0.00233751,0.00000089,0.00066539,0.02286244
1773325307.03797460,0.03272150,5917,0.00353260,0.01818153,0,0.00000000,13728,13916,434,0.00187105,0.00399124,0.00483103,0.00000107,0.00076361,0.02253791
1773325307.13803792,0.03012504,5942,0.00329413,0.01808702,0,0.00000000,13916,14097,385,0.00242614,0.00443721,0.00232073,0.00000100,0.00066937,0.02287455
1773325307.23798347,0.03347880,5946,0.00439673,0.01906359,0,0.00000000,14097,14092,359,0.00275250,0.00433859,0.00324247,0.00000147,0.00098686,0.02372489
1773325307.33798742,0.03828074,5995,0.00368870,0.02489551,0,0.00000000,14092,14063,358,0.00335281,0.00491326,0.00259631,0.00000093,0.00067746,0.03016485
